tweets,Subjectivity,Polarity,Analysis
_salmon85:    My 3 month year old daughter has a very important meeting at Great Ormond St…,0.65,0.47333333333333333,1
  Why do you even exist   ??,0.0,0.0,0
 Holy shit it would be amazing to see the nerd get censored by peta when talking about animal shit cuz it's not vegan lmao,0.875,0.2,1
" 
Thats what happened in Faroe islands for 1500 dolphins, what are you going to do? ",0.0,0.0,0
Urge These Fast-Food Chains to Up Their Vegan Game ,0.4,-0.4,-1
: Alexandra Australia is telling customers that fur production is ethical. We’re not buying it – are you? Take action now…,0.35,0.15000000000000002,1
  For every stupid post I see I go hunting that weekend.  So I'll basically be hunting every weekend… ,1.0,-0.7999999999999999,-1
Peta be serving ,0.0,0.0,0
": 
Interviews with artists Peta Lloyd, Annie Rapstoff, Rhiannon Evans and Clare Carswell by art writ…",0.0,0.0,0
"📝Today _EN will vote to ask the _Commission to phase out animal testing❌

💜We fu… ",0.0,0.0,0
 Morning Peta 😀someone who’s a bit sick and doesn’t have children I should imagine 😡sending hugs to you and yours x🤗🇬🇧🦇☕️🐲🌼,0.8571428571428571,-0.7142857142857143,-1
 Nice block when you tell people to act like the omnivores they are. ,1.0,0.6,1
"  _CH   
Killing of 1500 Dolphins in the name of tradit… ",0.0,0.0,0
": URGENT ACTION NEEDED!
 
Cashmere goats scream in agony as their hair is violently ripped off their bodies, mice and birds are lef…",0.55,-0.3375,-1
Watching Peta Credlin interview Gladys. Not one hard tough question. Seems like Credlin has lost her main strength.… ,0.5694444444444444,-0.1712962962962963,-1
: Sky News host Peta Credlin says it is time to stop “obsessing about our emissions” given Australia has “reduced its emissi…,0.0,0.0,0
Too high to give a sh*t bout PETA,0.5399999999999999,0.16,1
Gladys Berejiklian tells Peta Credlin weddings and corporate events have different density caps because ‘people min… ,0.3,0.0,0
Sky News host Peta Credlin says it is time to stop “obsessing about our emissions” given Australia has “reduced its… ,0.0,0.0,0
GRAPHIC IMAGES! Whalers on the Faroe Islands kill 1428 dolphins in a sin...  via … ,0.4,0.0,0
New kink alert ,0.45454545454545453,0.13636363636363635,1
no way i miss the live becos i need to workout for my peta sfckmdod,0.5,0.13636363636363635,1
Alexandra Australia is telling customers that fur production is ethical. We’re not buying it – are you? Take action… ,0.6,0.2,1
Alexandra Australia is telling customers that fur production is ethical. We’re not buying it – are you? Take action… ,0.6,0.2,1
: Could you be wearing dog leather? InternationalDogDay ,0.0,0.0,0
"Speaking to  Peta Credlin, Gladys Berejiklain reaffirms inbound &amp; outbound travel freedoms are imminent… ",0.0,0.0,0
@_Pehicc: Alexandra Australia is telling customers that fur production is ethical. We’re not buying it – are you? Take action now: https…,0.35,0.15000000000000002,1
Alexandra Australia is telling customers that fur production is ethical. We’re not buying it – are you? Take action… ,0.6,0.2,1
  - Good idea. Let's do it for Bakri Eid also,0.6000000000000001,0.7,1
": If YOU were an orca or dolphin, would you choose THIS or would you choose the ocean?
 
Exactly.
 
📹  ",0.25,0.25,1
Urge These Fast-Food Chains to Up Their Vegan Game ,0.4,-0.4,-1
"Berejiklian with Peta Credlin on 80% rules: ""We’re working on 80% roadmap – in some parts of the world if there’s a… ",0.0,0.0,0
Why hasn't Val been awarded an AO - but we gave one to Peta Credlin? thedrum or has she?,0.0,0.0,0
" PETA should call for banning eggs,",0.0,0.0,0
: It’s probably out of frustration.  ,0.0,0.0,0
": URGENT ACTION NEEDED!
 
Cashmere goats scream in agony as their hair is violently ripped off their bodies, mice and birds are lef…",0.55,-0.3375,-1
: Alexandra Australia is telling customers that fur production is ethical. We’re not buying it – are you? Take action now…,0.35,0.15000000000000002,1
Request Activist Materials  via ,0.0,0.0,0
: Alexandra Australia is telling customers that fur production is ethical. We’re not buying it – are you? Take action now…,0.35,0.15000000000000002,1
: We will continue to be nuisance for beef mafia that does illegal slaughter. We don't need PETA for this.,0.5,-0.5,-1
: _UNIFICATION _official _HQ   Are you interested in stopping cruelty  or…,0.5,0.25,1
"They source their fur from China where the animals are skinned alive.

Alexandra Australia is telling customers tha… ",0.4,0.1,1
PETA are so weird   ,1.0,-0.5,-1
": So, the left are now the ‘unfun ones’ at a dinner party compared to the ‘larrikin right’. So, who would you like to sit next…",0.26785714285714285,0.14285714285714285,1
Australia is telling customers that fur production is ethical. We’re not buying it – are you? Take action now: ,0.35,0.15000000000000002,1
: We will continue to be nuisance for beef mafia that does illegal slaughter. We don't need PETA for this.,0.5,-0.5,-1
": URGENT ACTION NEEDED!
 
Cashmere goats scream in agony as their hair is violently ripped off their bodies, mice and birds are lef…",0.55,-0.3375,-1
":    If you guys just wanted furry porn, you could have asked me instead of trying to play this whole…",0.0,0.0,0
"LIVE TELECASTING /BROADCASTING OR VIDEOGRAPHY, AUDIOGRAPHY OF SOMEONE'S LIFE WITHOUT HIS/HER PERMISSION IS A CRIME… ",0.5,0.13636363636363635,1
Alexandra Australia is telling customers that fur production is ethical. We’re not buying it – are you? Take action… ,0.6,0.2,1
: this is like showing up to a peta protest wearing fur and eating a cheeseburger,0.0,0.0,0
"1,428 white-sided dolphins were slaughtered over the weekend as part of a four-century-old traditional drive of sea… ",0.75,0.0,0
: The only way this stops is when tourists stop being so lazy : Animal Suffering Continues on Santorini ,1.0,-0.125,-1
Urge These Fast-Food Chains to Up Their Vegan Game ,0.4,-0.4,-1
": URGENT ACTION NEEDED!
 
Cashmere goats scream in agony as their hair is violently ripped off their bodies, mice and birds are lef…",0.55,-0.3375,-1
"1 peta down, 9999999 to go",0.2888888888888889,-0.15555555555555559,-1
Urge These Fast-Food Chains to Up Their Vegan Game ,0.4,-0.4,-1
": As it's the end of the first week BackToSchool, take a moment to sign here to end lessons of cruelty where children as young a…",0.3666666666666667,0.175,1
"MIND YOU IM REALLY NOT A FAN OF EXERCISING PLS. IF IT ISNT FOR PETA, I'D RATHER LAZE AROUND. T___T",0.2,-0.1,-1
: Alexandra Australia is telling customers fur production is ethical. We’re not buying it – are you? Take action now: ,0.35,0.15000000000000002,1
"Hey .  Close uour shop here.   You are wanted in Farie Islands. 
 ",0.0,0.0,0
": She wore  to the MetGala, but on one condition—that the company go fur-free—and THEY DID!
 
Tonight …",0.0,0.0,0
:  Your rightwing nutter in his fortnightly cosy chats with rightwing lunatic Peta Credlin putting the boot into Krist…,0.0,0.0,0
": Why you should never watch live zoo cams  
ANIMAL CRUELTY
 
  …",0.5,0.13636363636363635,1
: “PETA Investigates How South African President  Secretly Profits From Trophy Hunting” Spread the word! Shame…,0.35,-0.25,-1
": Watch the beautiful and emotional trailer for Gunda 🖤

The upcoming documentary executive-produced by Joaquin Phoenix gives an i…",0.5499999999999999,0.2833333333333333,1
": She knows that clothes should never take an animal’s life and that’s why she makes such a difference.

Wishing  a…",0.5,0.0,0
: Alexandra Australia is telling customers that fur production is ethical. We’re not buying it – are you? Take action now: http…,0.35,0.15000000000000002,1
" okay lngg, busy den dami peta 🥲 enjoy the rest of the dayyy &lt;3",0.43333333333333335,0.3333333333333333,1
A former employee testified at her DTRC hearing that a trainer punished a horse by withholding food for four days.… ,0.0,0.0,0
": So, _Paris, DidYouKnow that crocodiles are protective, attentive parents and often amuse themselves by blowing bubbles?…",0.9,0.4,1
": Instead, choose a milk that's made for human consumption:  ",0.1,0.0,0
": As it's the end of the first week BackToSchool, take a moment to sign here to end lessons of cruelty where children as young a…",0.3666666666666667,0.175,1
Alexandra Australia is telling customers that fur production is ethical. We’re not buying it – are you? Take action… ,0.6,0.2,1
Alexandra Australia is telling customers that fur production is ethical. We’re not buying it – are you? Take action… ,0.6,0.2,1
: Choose vegan fish and seafood! It’s not only better for animals and the world’s oceans but also offer all the taste without any…,0.75,0.25,1
: I wonder if animal rights advocates will have more success in getting this situation some attention.   help this…,0.25,0.4,1
: They can make shoes out of pineapple leaves now. Are you still wearing the skin of a tortured animal?  h…,0.0,0.0,0
": Sharks have been widely misconstrued as dangerous predators... But, when you look at the numbers it’s obvious that horror movie…",0.6,-0.2333333333333333,-1
": Take it from someone who almost died of sepsis: 
Experiments on mice DO NOT help humans! 
WorldSepsisDay
",0.0,0.0,0
This Australian Designer STILL Sells Fur! Take Action Now!  ,0.05,0.0625,1
 Your rightwing nutter in his fortnightly cosy chats with rightwing lunatic Peta Credlin putting the boot into… ,0.0,0.0,0
": Here's the daily reminder you needed to eat beetroot, not bones. Want to know more?  ",0.25,0.25,1
": Testing on animals is bad science. 
Join us in paving the way for better, more efficient, animal-free medical future: ",0.3583333333333333,0.06000000000000003,1
: Is your breakfast destroying our planet? ,0.0,-0.2,-1
": Hey,  - greyhounds are loving, sensitive individuals who do NOT want to race. 
Sign here to take action: ",0.65,0.26666666666666666,1
  _christophi  _louise   … ,0.0,0.0,0
"In my colony, one dog is severely injured. Dog is weeping. Severe injuries in his neck and ears. Please do somethin… ",0.0,0.0,0
"Peta india the epitome of Hypocrisy!

 
_Tewari  ",0.0,0.0,0
Urge These Fast-Food Chains to Up Their Vegan Game ,0.4,-0.4,-1
   _marmo Monstrous. - How can one torture such sweet creatures for a start,0.575,0.175,1
"Here in Germany, we already had a similar case: 3/

 ",0.4,0.0,0
": Why you should never watch live zoo cams  
ANIMAL CRUELTY
 
  …",0.5,0.13636363636363635,1
"_UNIFICATION: The World’s Biggest barbaric Halal Food Festival Is Coming To London Stadium UK.

_official
_HQ 

…",0.0,0.0,0
NSW Premier Gladys Berejiklian on PETA CREDLIN tonight at 6pm Sky News Australia. I know Credlin is running a Prote… ,0.0,0.0,0
  Just look at the farce of Vic's lockdown last year. All the journos in cahoots refusing… ,0.2833333333333333,-0.2,-1
: Are we  Way to Extinction? We’re at the premiere of the new film narrated by Academy Award winner Kate Winslet to find…,0.45454545454545453,0.13636363636363635,1
": Reminder that when you eat meat, YOU ARE EATING BODY PARTS 🤮 ",0.0,0.0,0
: 😡🦃  sent me this leaked “sex tape” that the meat industry doesn't want us to see. Workers at “humane” farms that supp…,0.0,0.0,0
: Alexandra Australia is telling customers that fur production is ethical. We’re not buying it – are you? Take action now: http…,0.35,0.15000000000000002,1
": URGENT ACTION NEEDED!
 
Cashmere goats scream in agony as their hair is violently ripped off their bodies, mice and birds are lef…",0.55,-0.3375,-1
": Here is the drone video free fron any attachments from a group trying to raise money off of Kiska's dire situation. 
…",0.8,0.4,1
_mc: Alexandra Australia is telling customers that fur production is ethical. We’re not buying it – are you? Take action now: htt…,0.35,0.15000000000000002,1
"PETA - People for the Extreme Termination of Animals. peta 
What a joke of an organization masquerading as animal… ",1.0,-0.125,-1
I just made a donation to PETA to help put a stop to cruelty to animals - please join me.,0.0,0.0,0
: Alexandra Australia is telling customers that fur production is ethical. We’re not buying it – are you? Take action now: h…,0.35,0.15000000000000002,1
Alexandra Australia is telling customers that fur production is ethical. We’re not buying it – are you? Take action… ,0.6,0.2,1
: Alexandra Australia is telling customers that fur production is ethical. We’re not buying it – are you? Take action now…,0.35,0.15000000000000002,1
: PETA Games - Angry Video Game Nerd (AVGN) ,0.7,-0.45,-1
_du_Noir_: Alexandra Australia is telling customers that fur production is ethical. We’re not buying it – are you? Take action n…,0.35,0.15000000000000002,1
Alexandra Australia is telling customers fur production is ethical. We’re not buying it – are you? Take action now:… ,0.35,0.15000000000000002,1
"_p: I don’t know about y’all, but I don’t have any more passwords left in me.",0.25,0.25,1
 any comments on these fantastic results? ,0.9,0.4,1
": Abbott obviously deserves much scorn for his treatment of Gillard… but Julie Bishop, Peta Credlin, Bronwyn Bishop and M…",0.35,0.1,1
 : 87f5038b-f973-4b78-bc33-a12748365206,0.0,0.0,0
": If YOU were an orca or dolphin, would you choose THIS or would you choose the ocean?
 
Exactly.
 
📹  ",0.25,0.25,1
Urge These Fast-Food Chains to Up Their Vegan Game ,0.4,-0.4,-1
Alexandra Australia is telling customers that fur production is ethical. We’re not buying it – are you? Take action… ,0.6,0.2,1
: this is like showing up to a peta protest wearing fur and eating a cheeseburger,0.0,0.0,0
: PETA Games - Angry Video Game Nerd (AVGN) ,0.7,-0.45,-1
" If their experiments are all that relevant for people, how come they don't try them on people? Would make more sense, somehow",0.7,0.45,1
"  I knew PETA had a lot of stupid takes, but that they went THAT far ...

Never cros… ",1.0,-0.35,-1
: I liked this appeal tweet of PETA but PETA SM handler has hidden all the Eid related replies shows how biased their activism…,0.5111111111111111,0.14444444444444446,1
": URGENT ACTION NEEDED!
 
Cashmere goats scream in agony as their hair is violently ripped off their bodies, mice and birds are lef…",0.55,-0.3375,-1
": Carnasie Brooklyn - Side effect of blanket eviction moratorium.
It allows for animal abuse!


…",0.0,0.0,0
: PETA Games - Angry Video Game Nerd (AVGN) ,0.7,-0.45,-1
: this is like showing up to a peta protest wearing fur and eating a cheeseburger,0.0,0.0,0
: PETA Games - Angry Video Game Nerd (AVGN) ,0.7,-0.45,-1
 PETA should first declare it's Revenue Sources and the actual number of rescued animals that it kills… ,0.21666666666666667,0.125,1
Urge These Fast-Food Chains to Up Their Vegan Game ,0.4,-0.4,-1
Alexandra Australia is telling customers that fur production is ethical. We’re not buying it – are you? Take action… ,0.6,0.2,1
  What about Faroe  Island  Dolphin genocide,0.0,0.0,0
": URGENT ACTION NEEDED!
 
Cashmere goats scream in agony as their hair is violently ripped off their bodies, mice and birds are lef…",0.55,-0.3375,-1
": So now we know. See you in court, . ",0.0,0.0,0
: Alexandra Australia is telling customers that fur production is ethical. We’re not buying it – are you? Take action now…,0.35,0.15000000000000002,1
: We will continue to be nuisance for beef mafia that does illegal slaughter. We don't need PETA for this.,0.5,-0.5,-1
:   Look at this healthy meal!! ,0.5,0.78125,1
:          _…,0.0,0.0,0
Alexandra Australia is telling customers that fur production is ethical. We’re not buying it – are you? Take action… ,0.6,0.2,1
Please help  FreeMali the elephant from a lonely life at the Manila Zoo: ,0.7,-0.09999999999999998,-1
"Take action to help release lonely, abused orca Morgan ",0.39999999999999997,1.3877787807814457e-17,1
Help Snakes Trapped in Cramped Tanks: Urge Defra to Amend Minimum Cage Size Regulations ,0.0,-0.2,-1
Live reptiles are being sawed open on farms that supplies Hermès. Please take action: ,0.3666666666666667,0.07878787878787878,1
Help retire lonely captive orca Lolita and others like her to a seaside sanctuary:  ,0.6499999999999999,0.05000000000000002,1
Urge these companies to stop selling badger-hair brushes ,0.0,0.0,0
_du_Noir_: Alexandra Australia is telling customers that fur production is ethical. We’re not buying it – are you? Take action n…,0.35,0.15000000000000002,1
Alexandra Australia is telling customers that fur production is ethical. We’re not buying it – are you? Take action… ,0.6,0.2,1
": “Today I don’t feel like doing anything” 
 
 
 
peacefulljammuandkasmir ",0.0,0.0,0
Alexandra Australia is telling customers that fur production is ethical. We’re not buying it – are you? Take action… ,0.6,0.2,1
": If YOU were an orca or dolphin, would you choose THIS or would you choose the ocean?
 
Exactly.
 
📹  ",0.25,0.25,1
" It appears by this data that 0.23% of the people tested for symptoms, had covid",0.0,0.0,0
context she accidentally said that our mini peta is due tomorrow instead of on friday and i almost cried,0.375,-0.125,-1
: Alexandra Australia is telling customers that fur production is ethical. We’re not buying it – are you? Take action now…,0.35,0.15000000000000002,1
" But honestly, what do people think they eat? Dead bodies of sentient beings who wanted to live",0.6,0.1787878787878788,1
": URGENT ACTION NEEDED!
 
Cashmere goats scream in agony as their hair is violently ripped off their bodies, mice and birds are lef…",0.55,-0.3375,-1
: PETA Games - Angry Video Game Nerd (AVGN) ,0.7,-0.45,-1
yo she got mad tits i would suck them too ,1.0,-0.625,-1
": Reminder that when you eat meat, YOU ARE EATING BODY PARTS 🤮 ",0.0,0.0,0
":  Faroe Islands
 TheFaroeIslands  did slaughtered 1500 (One thousand five hundred) dolphin dolp…",0.0,0.0,0
: We told you not to trust government-funded monkey labs. AHSDoubleFeature ,0.0,-0.05,-1
Alexandra Australia is telling customers that fur production is ethical. We’re not buying it – are you? Take action… ,0.6,0.2,1
_du_Noir_: Alexandra Australia is telling customers that fur production is ethical. We’re not buying it – are you? Take action n…,0.35,0.15000000000000002,1
: Alexandra Australia is telling customers that fur production is ethical. We’re not buying it – are you? Take action now…,0.35,0.15000000000000002,1
"man, who would want to perform live talk show as a peta? ugh",0.5,0.13636363636363635,1
   Agree,0.0,0.0,0
This Australian Designer STILL Sells Fur! Take Action Now! | PETA Australia ,0.05,0.0625,1
Alexandra Australia is telling customers that fur production is ethical. We’re not buying it – are you? Take actio… ,0.6,0.2,1
Alexandra Australia is telling customers that fur production is ethical. We’re not buying it – are you? Take action… ,0.6,0.2,1
: Alexandra Australia is telling customers that fur production is ethical. We’re not buying it – are you? Take action now…,0.35,0.15000000000000002,1
 : 6a10c513-c749-4569-b040-bd2b1af02d96,0.0,0.0,0
: PETA Games - Angry Video Game Nerd (AVGN) ,0.7,-0.45,-1
: We will continue to be nuisance for beef mafia that does illegal slaughter. We don't need PETA for this.,0.5,-0.5,-1
" Hi Peta, if I had to choose between older thoughtful people and young selfish idiots, I know which ones I’d be protecting!",0.6066666666666667,-0.16666666666666669,-1
: Alexandra Australia is telling customers that fur production is ethical. We’re not buying it – are you? Take action now…,0.35,0.15000000000000002,1
Urge These Fast-Food Chains to Up Their Vegan Game ,0.4,-0.4,-1
: I'm pleased to say that Murdoch's Peta Credlin -- the Liberal Party mouthpiece masquerading as a journalist -- has settled my…,1.0,0.5,1
: Alexandra Australia is telling customers that fur production is ethical. We’re not buying it – are you? Take action now…,0.35,0.15000000000000002,1
: PETA Games - Angry Video Game Nerd (AVGN) ,0.7,-0.45,-1
Alexandra Australia is telling customers that fur production is ethical. We’re not buying it – are you? Take action… ,0.6,0.2,1
:         _Wl…,0.0,0.0,0
: PETA Games - Angry Video Game Nerd (AVGN) ,0.7,-0.45,-1
": URGENT ACTION NEEDED!
 
Cashmere goats scream in agony as their hair is violently ripped off their bodies, mice and birds are lef…",0.55,-0.3375,-1
: this is like showing up to a peta protest wearing fur and eating a cheeseburger,0.0,0.0,0
Urge These Fast-Food Chains to Up Their Vegan Game ,0.4,-0.4,-1
: PETA Games - Angry Video Game Nerd (AVGN) ,0.7,-0.45,-1
Lockdown for Life: Take Action for Animals in Captivity - PETA UK  via ,0.1,0.1,1
PETA Games - Angry Video Game Nerd (AVGN) ,0.7,-0.45,-1
": URGENT ACTION NEEDED!
 
Cashmere goats scream in agony as their hair is violently ripped off their bodies, mice and birds are lef…",0.55,-0.3375,-1
": 40 years ago, PETA made HISTORY at this hidden monkey laboratory by obtaining the first search and seizure warrant against a U.S.…",0.2222222222222222,0.011111111111111108,1
: We will continue to be nuisance for beef mafia that does illegal slaughter. We don't need PETA for this.,0.5,-0.5,-1
    Now you're all just telling me the obvious answers I didn't even think of,0.5,0.0,0
Urge These Fast-Food Chains to Up Their Vegan Game ,0.4,-0.4,-1
": Why you should never watch live zoo cams  
ANIMAL CRUELTY
 
  …",0.5,0.13636363636363635,1
": Why you should never watch live zoo cams  
ANIMAL CRUELTY
 
  …",0.5,0.13636363636363635,1
": If YOU were an orca or dolphin, would you choose THIS or would you choose the ocean?
 
Exactly.
 
📹  ",0.25,0.25,1
Alexandra Australia is telling customers that fur production is ethical. We’re not buying it – are you? Take action… ,0.6,0.2,1
: Alexandra Australia is telling customers that fur production is ethical. We’re not buying it – are you? Take action now: http…,0.35,0.15000000000000002,1
Alexandra Australia is telling customers that fur production is ethical. We’re not buying it – are you? Take action… ,0.6,0.2,1
: Alexandra Australia is telling customers that fur production is ethical. We’re not buying it – are you? Take action now: http…,0.35,0.15000000000000002,1
    What sbout pablo escobar,0.0,0.0,0
": Reminder that when you eat meat, YOU ARE EATING BODY PARTS 🤮 ",0.0,0.0,0
       … ,0.0,0.0,0
Alexandra Australia is telling customers that fur production is ethical. We’re not buying it – are you? Take action… ,0.6,0.2,1
": PETA fieldworkers found this dying pit, chained to the doghouse we provided years ago.  ",0.0,0.0,0
 : 1ffe409a-22b8-4b39-b294-4b38b37bd41d,0.0,0.0,0
: this is like showing up to a peta protest wearing fur and eating a cheeseburger,0.0,0.0,0
"My mom said she would give me money if i helped my sister pass her science peta,,,,,suddenly im a scientist🤩🤩",0.0,0.0,0
Urge These Fast-Food Chains to Up Their Vegan Game ,0.4,-0.4,-1
Alexandra Australia is telling customers that fur production is ethical. We’re not buying it – are you? Take action… ,0.6,0.2,1
: We will continue to be nuisance for beef mafia that does illegal slaughter. We don't need PETA for this.,0.5,-0.5,-1
:   Damn bro that was mad funny ,1.0,-0.1875,-1
Alexandra Australia is telling customers that fur production is ethical. We’re not buying it – are you? Take action… ,0.6,0.2,1
": URGENT ACTION NEEDED!
 
Cashmere goats scream in agony as their hair is violently ripped off their bodies, mice and birds are lef…",0.55,-0.3375,-1
: this is like showing up to a peta protest wearing fur and eating a cheeseburger,0.0,0.0,0
:  URGENT. I HAVE A FRIEND STILL IN KABUL WITH ACCESS TO THE AIRPORT.  HE ASKED FOR A BETTER PHOTO OF JEREMY…,0.5,0.5,1
":      Your friend can to find him?

KSAR
OperationHercules
HelpT…",0.0,0.0,0
  No you are eating your way to it.,0.0,0.0,0
: Just joking.. Peta nuts.,0.0,0.0,0
"    Didn't know who it was, looked it up, yep that's the face of a man who does a lot of cocaine",0.0,0.0,0
     _   … ,0.0,0.0,0
    Definitely Charlie Sheen,0.5,0.0,0
": 40 years ago, PETA made HISTORY at this hidden monkey laboratory by obtaining the first search and seizure warrant against a U.S.…",0.2222222222222222,0.011111111111111108,1
 Lol Peta you kill animals too.,0.7,0.8,1
" Bruh I know you kill animals for no reason. AND YOU'RE PRETENDING TO BE ANIMAL LOVERS? Well no you don't.
You… ",0.0,0.0,0
": GUYS NEW EPISODE!! 🎉

4th Runner Up of Spartan Race Philippines 2019, Finalist of Fitness First New You Achievement Aw…",0.41414141414141414,0.19981060606060605,1
" I’ll decide on it in 5-20 years time.. when I feel safe that I know the impact over time, and still then… ",0.5,0.5,1
" Hi Peta, this isn't a recent change and was not introduced due to COVID. For privacy reasons, anyone a… ",0.3125,-0.0625,-1
 : 85685686-e8f4-4684-8f83-a1fb75a889cb,0.0,0.0,0
": If YOU were an orca or dolphin, would you choose THIS or would you choose the ocean?
 
Exactly.
 
📹  ",0.25,0.25,1
Alexandra Australia is telling customers that fur production is ethical. We’re not buying it – are you? Take action… ,0.6,0.2,1
: Alexandra Australia is telling customers that fur production is ethical. We’re not buying it – are you? Take action now…,0.35,0.15000000000000002,1
"  When they do not 'resort' to monkeys for experimentation, they often use rodents, or dogs and cats",0.0,0.0,0
Urge These Fast-Food Chains to Up Their Vegan Game ,0.4,-0.4,-1
Alexandra Australia is telling customers that fur production is ethical. We’re not buying it – are you? Take action… ,0.6,0.2,1
: The only way this stops is when tourists stop being so lazy : Animal Suffering Continues on Santorini ,1.0,-0.125,-1
"  Psychologists everywhere ""experiment"" on monkeys. Only the law can prevent this.- Strange,  so… ",0.575,-0.025,-1
_Art _arts I thought you were talking about PETA there for a second.,0.0,0.0,0
Yeah bro this is my kink why’d you think I drank it? For nutrition? Ha ,0.0,0.0,0
Alexandra Australia is telling customers that fur production is ethical. We’re not buying it – are you? Take action… ,0.6,0.2,1
Request Activist Materials  via ,0.0,0.0,0
Alexandra Australia is telling customers that fur production is ethical. We’re not buying it – are you? Take action… ,0.6,0.2,1
Alexandra Australia is telling customers that fur production is ethical. We’re not buying it – are you? Take action… ,0.6,0.2,1
: We will continue to be nuisance for beef mafia that does illegal slaughter. We don't need PETA for this.,0.5,-0.5,-1
: We will continue to be nuisance for beef mafia that does illegal slaughter. We don't need PETA for this.,0.5,-0.5,-1
: We will continue to be nuisance for beef mafia that does illegal slaughter. We don't need PETA for this.,0.5,-0.5,-1
"Disgusting.
Anyone consuming Dolphin from this hunt should be hunted themselves and publicly humiliated all over so… ",0.5333333333333333,-0.5,-1
: this is like showing up to a peta protest wearing fur and eating a cheeseburger,0.0,0.0,0
: We will continue to be nuisance for beef mafia that does illegal slaughter. We don't need PETA for this.,0.5,-0.5,-1
"Disgusting.
Anyone consuming Dolphin from this hunt should be hunted themselves and publicly humiliated all over so… ",0.5333333333333333,-0.5,-1
": URGENT ACTION NEEDED!
 
Cashmere goats scream in agony as their hair is violently ripped off their bodies, mice and birds are lef…",0.55,-0.3375,-1
Alexandra Australia is telling customers that fur production is ethical. We’re not buying it – are you? Take action… ,0.6,0.2,1
: We will continue to be nuisance for beef mafia that does illegal slaughter. We don't need PETA for this.,0.5,-0.5,-1
: We will continue to be nuisance for beef mafia that does illegal slaughter. We don't need PETA for this.,0.5,-0.5,-1
_plibersek Everyone owes Peta Credlin an apology. She’s not Australia’s worst PM ever.,1.0,-1.0,-1
: This is reckless. The brutal killing of wildlife in the name of 'tradition'. It's a legal form of wildlife crime on lar…,0.6,-0.3375,-1
: Alexandra Australia is telling customers that fur production is ethical. We’re not buying it – are you? Take action now: h…,0.35,0.15000000000000002,1
:   Look at this healthy meal!! ,0.5,0.78125,1
_: Understood that Capricorn 🐐 is at fore now. What about Bakrid ,0.0,0.0,0
  Exactly!,0.25,0.3125,1
: We will continue to be nuisance for beef mafia that does illegal slaughter. We don't need PETA for this.,0.5,-0.5,-1
: We will continue to be nuisance for beef mafia that does illegal slaughter. We don't need PETA for this.,0.5,-0.5,-1
Alexandra Australia is telling customers that fur production is ethical. We’re not buying it – are you? Take action… ,0.6,0.2,1
: this is like showing up to a peta protest wearing fur and eating a cheeseburger,0.0,0.0,0
": Repost from  
Every year millions of animals are killed for the clothing industry, all in… ",0.0,-0.2,-1
": THIS IS WHAT HAPPENS IN THE DAIRY INDUSTRY 💔 

Cow mothers have their babies stolen from them so humans can drink their milk. RET…",0.16666666666666666,-0.13333333333333333,-1
: We will continue to be nuisance for beef mafia that does illegal slaughter. We don't need PETA for this.,0.5,-0.5,-1
Urge These Fast-Food Chains to Up Their Vegan Game ,0.4,-0.4,-1
"  All crimes are done by/for pleasure (else under constraint) ;) it is not an argument, a society can't be based on ego ^^",1.0,0.25,1
