tweets,Subjectivity,Polarity,Analysis
: Breaking  eyewitness footage shows shocking abuse to elephants in Thailand's tourism industry. TAKE ACTION FO…,0.55,-0.45,-1
 : 6bac3ed1-d221-4fd9-af19-4b95b2cff964,0.0,0.0,0
Hey  if you don't have funding to go to Denmark borrow some from us and do visit this place ! ,0.0,0.0,0
" It seems Peta has never played Minotaur Hotel, they would understand 😔",0.0,0.0,0
 Sweet girl,0.65,0.35,1
": NEWS: PETA is planning a protest at Lilly HQ in Indianapolis. 

Here's why: ",0.0,0.0,0
Alexandra Australia is telling customers that fur production is ethical. We’re not buying it – are you? Take action now: ,0.35,0.15000000000000002,1
: Are we  Way to Extinction? We’re at the premiere of the new film narrated by Academy Award winner Kate Winslet to find…,0.45454545454545453,0.13636363636363635,1
I'm taking part in PETA's 3-Week VeganChallenge! Will you join me?  via ,0.0,0.0,0
Alexandra Australia is telling customers that fur production is ethical. We’re not buying it – are you? Take action now: ,0.35,0.15000000000000002,1
"_UNIFICATION: The World’s Biggest barbaric Halal Food Festival Is Coming To London Stadium UK.

_official
_HQ 

…",0.0,0.0,0
  Looks like a nugget to me,0.0,0.0,0
": Mexico becomes the first country in North America to ban animal testing for cosmetics. 👏
 championed the bill…",0.3333333333333333,0.25,1
  I love to eat animals,0.6,0.5,1
": NEWS: PETA is planning a protest at Lilly HQ in Indianapolis. 

Here's why: ",0.0,0.0,0
this pussy naughty he had to call peta,0.9,-0.15000000000000002,-1
Getting head from ducks is big pog  quack head lol mad ,0.6,0.05833333333333335,1
I just made a donation to PETA to help put a stop to cruelty to animals - please join me.,0.0,0.0,0
"  Shame on Denmark.
 
",0.0,0.0,0
": Save the whales at SeaWorld 🐳

Just go to this link ➡️  ",0.0,0.0,0
_  Bodied those grass eaters,0.0,0.0,0
  YOU CAN'T GET OVER THIS RATIO,0.0,0.0,0
 Seaworld literally does nothing wrong,0.9,-0.5,-1
": Does this look helpful to humans!? 
 More than 90% of basic research, most of which involves experiments on animals, fa…",0.375,0.3333333333333333,1
 Well you’re going to have to get over this Ratio,0.0,0.0,0
"   We honor Dr. Elisabeth Murray for her foundational brain research with monkeys, and counter PETA's claims about her pioneering work...with the facts. Thank you, Dr. Elisabeth Murray! Episode 4: ",0.0,0.0,0
" Very informative. Many people from all over the world were shocked to learn about the heartlessness of the US decision to leave those dogs and their carers behind, especially seeing as they did have a privately funded plane to ship them out.",0.6124999999999999,-0.06666666666666667,-1
": Save the whales at SeaWorld 🐳

Just go to this link ➡️  ",0.0,0.0,0
"Alexandra Australia is telling customers that fur production is ethical. We’re not buying it – are you? Take action now:  
Ever get the feeling Australia is tragically behind the times? There IS no ethical fur except faux fur. Please sign, RT&gt;&gt;&gt;&gt;&gt;",0.5,-0.049999999999999996,-1
im so tired habdshshs going all nightsr para sa peta me thinks hahaha,0.55,-0.1,-1
: Why did the U.S. Government leave 150 dogs behind in Afghanistan?  ,0.7,-0.4,-1
": “Even though I’ve gotten used to working remotely, it’s great to be able to provide support at our tablings, like the GBB…",0.6875,0.65,1
"  Oh wait, I blocked you, so you can't",0.0,0.0,0
"  

Yeet",0.0,0.0,0
"  omg soo sad what a BARBARIC CULTURE THEY HAVE !!!! 💔
 
 
 
 
 
 

please act quick and save our beloved Dolphins .",0.8333333333333334,0.011111111111111072,1
    Dang right,0.5357142857142857,0.2857142857142857,1
  Are you going to hide this post?,0.0,0.0,0
: Why did the U.S. Government leave 150 dogs behind in Afghanistan?  ,0.7,-0.4,-1
: Why did the U.S. Government leave 150 dogs behind in Afghanistan?  ,0.7,-0.4,-1
: Why did the U.S. Government leave 150 dogs behind in Afghanistan?  ,0.7,-0.4,-1
: Why did the U.S. Government leave 150 dogs behind in Afghanistan?  ,0.7,-0.4,-1
" What in the hell is a is them little prickly star things on the back of y’all boots called? You know, the things y’all kick the horses in the side with and does PETA approve?",0.25,-0.09375,-1
" evil!!   this is an atrocity!! Mass butchering of a species is not culture. And if you think it is, your culture should be eliminated!! evil murder cruelty ",1.0,-1.0,-1
" want a hamburger
It was made with 14 different baby animals",0.6,0.0,0
    We have to wait a little first!! Let’s do it when we’re all in town 🥲 I’m talking ostrich eggs and rotten milk. I want revenge.,0.41666666666666663,0.1015625,1
People for the Ethical Treatment of Animals (PETA): Justice For Geronimo The Alpaca Inhumanely Killed - Sign the Petition!  via ,0.3,-0.024999999999999994,-1
: With the cost of meat skyrocketing in Canada there's never been a better time to stop eating body parts. govegan PETA,0.5,0.5,1
: Why did the U.S. Government leave 150 dogs behind in Afghanistan?  ,0.7,-0.4,-1
"       
Spotted an Injured cow in paschim vihar, A5B, SFS Flats, Shanti kunj apartment, opposite Gate No. 11, near DDA Park, Paschim Vihar. New Delhi-110063....
So pls help an injured cow ASAP..... ",0.2375757575757576,-0.006060606060606061,-1
 Because Taliban warns only U.S. military to leave..not U.S. dogs.,0.55,-0.05,-1
": Reminder that when you eat meat, YOU ARE EATING BODY PARTS 🤮 ",0.0,0.0,0
: _com No tweets from  on this ever ,0.0,0.0,0
: Why did the U.S. Government leave 150 dogs behind in Afghanistan?  ,0.7,-0.4,-1
: With the cost of meat skyrocketing in Canada there's never been a better time to stop eating body parts. govegan PETA,0.5,0.5,1
": ""Next time na."" ""Sa susunod na lang."" Do something for yourself TODAY. YOU DESERVE IT!

Last 48-hours to sign up for the S…",0.03333333333333333,0.0,0
: Why did the U.S. Government leave 150 dogs behind in Afghanistan?  ,0.7,-0.4,-1
Please help stop the bloody whale slaughter on the Faroe Islands: ,0.9,-0.8,-1
" ShopCrueltyFree CERTIFIED MonkeyFriendly 

CrueltyFree Vegan Coconut Products !!!



",0.0,0.0,0
  here is a cruel one,1.0,-1.0,-1
"True compassion is unlimited! 
loveanimals Notjustlovefordogs animalcrueltyawareness animalrights _News   ",0.65,0.4375,1
": URGENT ACTION NEEDED!
 
Cashmere goats scream in agony as their hair is violently ripped off their bodies, mice and birds are lef…",0.55,-0.3375,-1
"_com Where is  ??? Oh sorry this is only Denmark and not India. We indians celebrate such barbaric festivals like holi, rakhi and diwali.  is so right to call us out.",0.7589285714285714,-0.053571428571428575,-1
: Why did the U.S. Government leave 150 dogs behind in Afghanistan?  ,0.7,-0.4,-1
: Why did the U.S. Government leave 150 dogs behind in Afghanistan?  ,0.7,-0.4,-1
": PETA slams Faroe Island tradition after 1,400 dolphins are butchered in just hours ",0.0,0.0,0
Biden zero accountability with no plans only deadlines to cover up and run to vacation. ,1.0,0.0,0
: Why did the U.S. Government leave 150 dogs behind in Afghanistan?  ,0.7,-0.4,-1
: Why did the U.S. Government leave 150 dogs behind in Afghanistan?  ,0.7,-0.4,-1
 because im trying to take down peta,0.2888888888888889,-0.15555555555555559,-1
" You believe in peta Khazana fairy tales?

Abdul hay habibi author of peta khazana is not reliable his information is all false and manufactured you can verify this from other historians",0.4875,-0.26250000000000007,-1
: Why did the U.S. Government leave 150 dogs behind in Afghanistan?  ,0.7,-0.4,-1
: Who paid with their blood for _Paris' “luxury” bags? DropCroc ,0.0,0.0,0
"    How is that anything like the PETA example? Again she is not calling for the abolishment of wealthy people. Just higher marginal tax rates.

Neither does democratic socialism abolish obtaining wealth. She explicitly uses Scandinavian countries as models:

",0.75,0.375,1
just found out I'm blocked by the  Twitter account and promptly told my wife I was blocked by tweeta ,0.0,0.0,0
 This film suddenly feels like it's made by PETA,0.5,0.0,0
: People for the Ethical Treatment of Animals (PETA): Siddipet (Telangana) Street Dogs Culling - Sign the Petition! https:…,0.6,0.25,1
": 40 years ago, PETA made HISTORY at this hidden monkey laboratory by obtaining the first search and seizure warrant against a U.S.…",0.2222222222222222,0.011111111111111108,1
: Why did the U.S. Government leave 150 dogs behind in Afghanistan?  ,0.7,-0.4,-1
: Why did the U.S. Government leave 150 dogs behind in Afghanistan?  ,0.7,-0.4,-1
"I love , but I’m disappointed that it’s sponsored by the Happy Egg Co. 💔 This video shows there’s nothing happy about life on egg farms. Urge parkrun to cut ties with the company and find an animal-friendly sponsor! LoveParkrun CrappyEggs  ",0.8375,0.3875,1
Urge These Fast-Food Chains to Up Their Vegan Game ,0.4,-0.4,-1
" That hit piece co written with PVO about the now deceased Kate really made me dislike this woman immensely. She's up there with Miranda Devine, Peta Credlin &amp; the old soak Prue Macsween in my eyes. Real pieces of work all if them",0.425,0.125,1
"  wtf lol , didnt we all learned from china that eating animals are bad 
cause they. ate bat and covid happened.",0.7888888888888889,-0.13333333333333328,-1
: Why did the U.S. Government leave 150 dogs behind in Afghanistan?  ,0.7,-0.4,-1
"_Love_Pi_73    It’s the context. It’s as if a PETA activist participated in the Gala wearing a fur saying Meat is Murder. And AOC is not just about tax rates, but wants democratic socialism which makes her appearance as a weird joke given that the Gala is a product of capitalism.",0.55,-0.15,-1
: Why did the U.S. Government leave 150 dogs behind in Afghanistan?  ,0.7,-0.4,-1
": NEWS: PETA is planning a protest at Lilly HQ in Indianapolis. 

Here's why: ",0.0,0.0,0
: _com   Please write an article on this,0.0,0.0,0
: _com No tweets from  on this ever ,0.0,0.0,0
Ask the Greek minister for tourism and Greek minister for agricultural development and food to ban cruel donkey and mule rides on Santorini immediately! ,0.3333333333333333,-0.3333333333333333,-1
": _com Hello , hope you didn't drink fevicol ",0.0,0.0,0
: Why did the U.S. Government leave 150 dogs behind in Afghanistan?  ,0.7,-0.4,-1
_mohan: _com But  sleeping now. Their alarm clock will wake them up during Navratri and Diwali. All this killing is…,0.0,0.0,0
" Nyxly is a great hot campy villain. Kudos to people who brought Peta Seargant to the series.

And supercorp endgame, for the culture",0.8,0.525,1
: 10 Ways to Help Animals This Month (Updated September 2021)  via ,0.0,0.0,0
 Because humans are more important 🤡🤡🤡 ,0.75,0.45,1
: Help animals used in film and TV development by supporting PETA’s Animals in Film and Television division of the Commu…,0.25,0.25,1
: Why did the U.S. Government leave 150 dogs behind in Afghanistan?  ,0.7,-0.4,-1
Help animals used in film and TV development by supporting PETA’s Animals in Film and Television division of the Communications Department as Administrative Assistant – Animals in Film and Television!  hiring job jobs,0.25,0.3125,1
Please help stop the bloody whale slaughter on the Faroe Islands: ,0.9,-0.8,-1
: Why did the U.S. Government leave 150 dogs behind in Afghanistan?  ,0.7,-0.4,-1
Why did the U.S. Government leave 150 dogs behind in Afghanistan?  ,0.7,-0.4,-1
: Charlene had a horrific foot injury that left her with exposed bones when a PETA investigator rescued her—now she’s taking dust b…,0.5,-0.5,-1
": Save the whales at SeaWorld 🐳

Just go to this link ➡️  ",0.0,0.0,0
Alexandra Australia is telling customers that fur production is ethical. We’re not buying it – are you? Take action now: ,0.35,0.15000000000000002,1
: Breaking  eyewitness footage shows shocking abuse to elephants in Thailand's tourism industry. TAKE ACTION FOR E…,0.55,-0.45,-1
: Charlene had a horrific foot injury that left her with exposed bones when a PETA investigator rescued her—now she’s taking dust b…,0.5,-0.5,-1
I'm taking part in PETA's 3-Week VeganChallenge! Will you join me?  via ,0.0,0.0,0
"Latest installment in Alan’s collected items of cultural significance: PETA’s plush sea kitten, meant to rebrand fish. Sad to say mine is missing one fin mitten. ",0.5125,-0.02500000000000001,-1
": Mexico becomes the first country in North America to ban animal testing for cosmetics. 👏
 championed the bill…",0.3333333333333333,0.25,1
_com Where is  ? Correction; I mean COWARD peta!,0.6875,-0.390625,-1
": If YOU were an orca or dolphin, would you choose THIS or would you choose the ocean?
 
Exactly.
 
📹  ",0.25,0.25,1
Urge These Fast-Food Chains to Up Their Vegan Game ,0.4,-0.4,-1
  Definitely the🌊 because that's where God placed them after He created them🐬🐋,0.5,0.0,0
Urge These Fast-Food Chains to Up Their Vegan Game ,0.4,-0.4,-1
: PETA out here forcing us to watch animal abuse videos because they really are the worst,0.6,-0.4,-1
": Reminder that when you eat meat, YOU ARE EATING BODY PARTS 🤮 ",0.0,0.0,0
"  Couldn't you just say you bought it secondhand? I mean, i'm Kinda pro peta as in i agree with the ideals of planet sustainability, but also i own a 2nd hand leather porsche jacket which was a gift from my dad. I think these peta ppl you met lack realism and damage peta's name.",0.496875,0.046875,1
Ep. 189: Dr. John P. Gluck--PETA Trailblazing Advocacy Award Winner--And His Journey To A Cruelty-Free Science. ,0.0,0.0,0
: NEWS: Mouse masks and a giant poster will be used Thursday when PETA protests outside Eli Lilly headquarters in Indianapolis. T…,0.525,0.0,0
": Mexico becomes the first country in North America to ban animal testing for cosmetics. 👏
 championed the bill…",0.3333333333333333,0.25,1
: the peta Homestuck ,0.0,0.0,0
: Charlene had a horrific foot injury that left her with exposed bones when a PETA investigator rescued her—now she’s taking dust b…,0.5,-0.5,-1
_1110: I'm taking part in PETA's 3-Week VeganChallenge! Will you join me?  via ,0.0,0.0,0
: Are we  Way to Extinction? We’re at the premiere of the new film narrated by Academy Award winner Kate Winslet to find…,0.45454545454545453,0.13636363636363635,1
: Charlene had a horrific foot injury that left her with exposed bones when a PETA investigator rescued her—now she’s taking dust b…,0.5,-0.5,-1
": Mexico becomes the first country in North America to ban animal testing for cosmetics. 👏
 championed the bill…",0.3333333333333333,0.25,1
": 40 years ago, PETA made HISTORY at this hidden monkey laboratory by obtaining the first search and seizure warrant against a U.S.…",0.2222222222222222,0.011111111111111108,1
"With so many brides and grooms refusing to support industries that exploit and kill animals and tying the knot vegan-style we are proposing our first-ever Vegan Wedding Awards.

Meet the winners 👀💍👰‍♀️

  ",0.5,0.5,1
:         _Wl…,0.0,0.0,0
: Help Retire Lolita and the Orcas at Marineland Antibes to a Seaside Sanctuary  via ,0.0,0.0,0
_ssj    _Emu   where are you ? Frauds.,0.0,0.0,0
   Motherfucking PETA of course &gt;:(,1.0,-0.75,-1
Alexandra Australia is telling customers that fur production is ethical. We’re not buying it – are you? Take action now: ,0.35,0.15000000000000002,1
": Reminder that when you eat meat, YOU ARE EATING BODY PARTS 🤮 ",0.0,0.0,0
": Save the whales at SeaWorld 🐳

Just go to this link ➡️  ",0.0,0.0,0
Alexandra Australia is telling customers that fur production is ethical. We’re not buying it – are you? Take action now: ,0.35,0.15000000000000002,1
": Mexico becomes the first country in North America to ban animal testing for cosmetics. 👏
 championed the bill…",0.3333333333333333,0.25,1
 : 98fb6588-0bef-4b74-8303-29c2812d5852,0.0,0.0,0
": URGENT ACTION NEEDED!
 
Cashmere goats scream in agony as their hair is violently ripped off their bodies, mice and birds are lef…",0.55,-0.3375,-1
": Reminder that when you eat meat, YOU ARE EATING BODY PARTS 🤮 ",0.0,0.0,0
"_wife   Why would you tag them it’s asking for unwanted attention, it causes anti semitism.",0.0,0.0,0
": My uncle works at Nintendo and sent me these pictures of the Smash Ultimate beta used to test new DLC characters 😮

The last Fig…",0.5070707070707071,0.04545454545454545,1
": Leigh Sales from Sydney, popped up in Melbourne presser and got stuck into Dan Andrews, just like Peta Credlin did.

Has she e…",0.0,0.0,0
: Charlene had a horrific foot injury that left her with exposed bones when a PETA investigator rescued her—now she’s taking dust b…,0.5,-0.5,-1
: Alexandra Australia is telling customers that fur production is ethical. We’re not buying it – are you? Take action now…,0.35,0.15000000000000002,1
": Reminder that when you eat meat, YOU ARE EATING BODY PARTS 🤮 ",0.0,0.0,0
": _com Hello , hope you didn't drink fevicol ",0.0,0.0,0
_mohan: _com But  sleeping now. Their alarm clock will wake them up during Navratri and Diwali. All this killing is…,0.0,0.0,0
: Charlene had a horrific foot injury that left her with exposed bones when a PETA investigator rescued her—now she’s taking dust b…,0.5,-0.5,-1
"This is what abolition of 370 &amp; 35A has given these Pandits ... 

Power in the real democracy. 

Modi hai to mumkin hai, hai na....

 
 ",0.30000000000000004,0.2,1
": NEWS: PETA is planning a protest at Lilly HQ in Indianapolis. 

Here's why: ",0.0,0.0,0
I just made a donation to PETA to help put a stop to cruelty to animals - please join me.,0.0,0.0,0
"I just remembered the Twitter shouting match I got into with PETA last year 

That was fun",0.13333333333333333,0.15,1
:         _Wl…,0.0,0.0,0
_uk   where are you hiding!???,0.0,0.0,0
"_   some vegans don't feel comfortable killing plants! worry about fish and bugs feeling pain.
",0.8,0.5,1
:         _Wl…,0.0,0.0,0
": Reminder that when you eat meat, YOU ARE EATING BODY PARTS 🤮 ",0.0,0.0,0
" Religion, Trump Supporters, Peta, Mustang Drivers",0.0,0.0,0
: Charlene had a horrific foot injury that left her with exposed bones when a PETA investigator rescued her—now she’s taking dust b…,0.5,-0.5,-1
: the peta Homestuck ,0.0,0.0,0
With the cost of meat skyrocketing in Canada there's never been a better time to stop eating body parts. govegan PETA ,0.5,0.5,1
baked peta cheese pasta❤️ ,0.0,0.0,0
:   why don't you ban their product as same as you do with Thai coconut milk product from your misunderstanding. Y…,0.125,0.0,0
: The crocodiles raised &amp; slaughtered for their skin in _Paris factory farms are victims of intensive confinement &amp; tor…,0.0,0.0,0
"_com Hello , hope you didn't drink fevicol ",0.0,0.0,0
: Pearl Jam Signed Poster. Your bid supports: PETA: People for the Ethical Treatment of Animals. Donated by: Pearl Jam https…,0.6,0.2,1
": Mexico becomes the first country in North America to ban animal testing for cosmetics. 👏
 championed the bill…",0.3333333333333333,0.25,1
Urge These Fast-Food Chains to Up Their Vegan Game ,0.4,-0.4,-1
": Mexico becomes the first country in North America to ban animal testing for cosmetics. 👏
 championed the bill…",0.3333333333333333,0.25,1
: Watch  founder  tell the fascinating story about how she shut down an animal lab hidden in a strip mall a…,0.49074074074074076,0.1259259259259259,1
"  Well,PETA also stated that having pets is immoral. Even though I’m vegetarian,I don’t support PETA. They’ve said questionable statements/politics that I disagree with including comparing the awful conditions of animals to the Holocaust. Once Godwin’s Law is said, you’ve lost me.",1.0,-0.75,-1
Alexandra Australia is telling customers that fur production is ethical. We’re not buying it – are you? Take action now: ,0.35,0.15000000000000002,1
_com No tweets from  on this ever ,0.0,0.0,0
PETA out here forcing us to watch animal abuse videos because they really are the worst ,0.6,-0.4,-1
": 40 years ago, PETA made HISTORY at this hidden monkey laboratory by obtaining the first search and seizure warrant against a U.S.…",0.2222222222222222,0.011111111111111108,1
": Mexico becomes the first country in North America to ban animal testing for cosmetics. 👏
 championed the bill…",0.3333333333333333,0.25,1
The fact that professional sports teams get the verified handles with the names of animals and the animals don’t get them. Someone call Peta,0.1,0.1,1
_com  itself is one of the consumers.,0.0,0.0,0
" We're so happy to hear you agree, Michelle! 🙌",1.0,1.0,1
": Mexico becomes the first country in North America to ban animal testing for cosmetics. 👏
 championed the bill…",0.3333333333333333,0.25,1
 We can't get over this beetle's beauty! 💚💚,0.0,0.0,0
:         _Wl…,0.0,0.0,0
_chaves   Who said they are abused ?  Is your dog abused for living in captivity ?,0.0,0.0,0
": The  Administration must get abandoned working dogs &amp; other animals—&amp; their caretakers—out of Afghanistan.

Join PETA in…",0.375,-0.125,-1
: the peta Homestuck ,0.0,0.0,0
": Mexico becomes the first country in North America to ban animal testing for cosmetics. 👏
 championed the bill…",0.3333333333333333,0.25,1
": Save the whales at SeaWorld 🐳

Just go to this link ➡️  ",0.0,0.0,0
"  Are you that yung dindu guy lmao ?
And yems daretodream",1.0,0.6,1
": Mexico becomes the first country in North America to ban animal testing for cosmetics. 👏
 championed the bill…",0.3333333333333333,0.25,1
"Mexico becomes the first country in North America to ban animal testing for cosmetics. 👏
 championed the bill to stop animal testing and received climate love 💚 from our community! 
Sign up and agree if you support this decision! 
 
",0.4666666666666667,0.515625,1
": Save the whales at SeaWorld 🐳

Just go to this link ➡️  ",0.0,0.0,0
": Reminder that when you eat meat, YOU ARE EATING BODY PARTS 🤮 ",0.0,0.0,0
": NEWS: PETA is planning a protest at Lilly HQ in Indianapolis. 

Here's why: ",0.0,0.0,0
": Save the whales at SeaWorld 🐳

Just go to this link ➡️  ",0.0,0.0,0
" A vegan world isn't happening overnight, so as less people pay for animal products, less animals will be forcibly bred to begin with. Every vegan saves nearly 200 animals a year. We don't need ANY animal products - make the switch, and save lives. 🌱
",0.3833333333333333,0.06666666666666668,1
:   why don't you ban their product as same as you do with Thai coconut milk product from your misunderstanding. Y…,0.125,0.0,0
I'm taking part in PETA's 3-Week VeganChallenge! Will you join me?  via ,0.0,0.0,0
  writing yuvar drems on tooter dot com ,0.0,0.0,0
_com Never saw  tweeting against this barbaric tradition like they do for Hindu festivals which doesn't even intend to harm animals.,0.0,0.0,0
Urge These Fast-Food Chains to Up Their Vegan Game ,0.4,-0.4,-1
": Save the whales at SeaWorld 🐳

Just go to this link ➡️  ",0.0,0.0,0
"

Please Save and Help These Animals. 
🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏",0.0,0.0,0
: Charlene had a horrific foot injury that left her with exposed bones when a PETA investigator rescued her—now she’s taking dust b…,0.5,-0.5,-1
": NEWS: PETA is planning a protest at Lilly HQ in Indianapolis. 

Here's why: ",0.0,0.0,0
: Breaking  eyewitness footage shows shocking abuse to elephants in Thailand's tourism industry. TAKE ACTION FOR E…,0.55,-0.45,-1
 Dont care,0.0,0.0,0
" None of which even provide accurate models for human science. 💔
Animal experimentation is a cruel and useless junk science.
",0.48333333333333334,-0.27499999999999997,-1
: Charlene had a horrific foot injury that left her with exposed bones when a PETA investigator rescued her—now she’s taking dust b…,0.5,-0.5,-1
Charlene had a horrific foot injury that left her with exposed bones when a PETA investigator rescued her—now she’s taking dust baths in her forever home 💗 ,0.5,-0.5,-1
"Brutally slaughtering 1,500 dolphins in a single day! Couldn't even get through the news! This is utterly disgusting, inhumane, brutal and completely unnecessary! FaroeIslands what is your deal? This is your tradition? 

We are watching you! STOP THIS!

Shameful  BREAKING ",0.8357142857142857,-0.7571428571428571,-1
" It's simple: experimenting on other animals tells us nothing about human science. 👇
",0.2773809523809524,-0.041666666666666664,-1
" _salmon85    I managed to make mine waiting for a PET scan right now, breast cancer. I hope Dan and his daughter made it through too. Sorry to hear about your friend Sophia.",0.7678571428571428,-0.10714285714285715,-1
     _     _ghaziabad Yes Then y U only giving full Focus on only Dogs Feeding  y only for Dogs NGO r getting  Fund y Not for other Animals  All this PETA&amp; Other Targeting Com man People&amp; Creating Fear of Law when Each&amp; Evry Com man Come on Street Protests against this Law then every thing Chang  soon,0.7166666666666667,0.016666666666666663,1
"This is BEYOND disgusting and evil! 
AnimalKingdom why is  silent?? Too much euros in pocket??
AnimalRights AnimalCrossing denmark killers murderers ClimateEmergency ClimateCrisis ",0.5750000000000001,-0.45,-1
People for the Ethical Treatment of Animals (PETA): Siddipet (Telangana) Street Dogs Culling - Sign the Petition!  via ,0.6,0.25,1
_com   Please write an article on this,0.0,0.0,0
Urge These Fast-Food Chains to Up Their Vegan Game   _Latino GoVegan💚 FriendsNotFood AnimalRights,0.4,-0.4,-1
"  They will tek me jungle.
I enjoy with Bore and monkes and subjugate them",0.5,0.4,1
"_sani Every year in the U.S., more than 108,000 primates are imprisoned in laboratories, where most of them are abused and killed in invasive, painful, and terrifying experiments. 💔
",0.58,-0.18,-1
": Save the whales at SeaWorld 🐳

Just go to this link ➡️  ",0.0,0.0,0
: the peta Homestuck ,0.0,0.0,0
"_Heyoka When you go vegan, you can donate any leftover fur items to those who are most in need. 👇
",0.5,0.5,1
"Yes. Need to find a way to do it sustainably.

",0.0,0.0,0
Take the vegan pledge! ,0.0,0.0,0
peta ads r so scary😭,0.0,0.0,0
_com But  sleeping now. Their alarm clock will wake them up during Navratri and Diwali. All this killing is a Sickular act so all's well 😏,0.0,0.0,0
": URGENT ACTION NEEDED!
 
Cashmere goats scream in agony as their hair is violently ripped off their bodies, mice and birds are lef…",0.55,-0.3375,-1
Thank you PETA. I needed that laugh. ,0.1,0.3,1
": Save the whales at SeaWorld 🐳

Just go to this link ➡️  ",0.0,0.0,0
SHE SAID THANK YOU AND GOODLUCK TO MY PETA BRO THANK U BOSS _   🤧,0.0,0.0,0
_com What is  doing?,0.0,0.0,0
  peta will tek u with them and mercy keel u tehe xD,0.0,0.0,0
That PETA video about turkeys is alarming. Fucking disturbing 😬,0.7,-0.3,-1
_Short _Salzer Still somehow not enough dubstep,0.4,0.0,0
I just triple-dinked PETA!,0.0,0.0,0
Dogs are being deliberately bred to develop crippling muscle diseases. Take action: ,0.1,0.1,1
