tweets,Subjectivity,Polarity,Analysis
: Sky News host Peta Credlin says it is time to stop “obsessing about our emissions” given Australia has “reduced its emissi…,0.0,0.0,0
": URGENT ACTION NEEDED!
 
Cashmere goats scream in agony as their hair is violently ripped off their bodies, mice and birds are lef…",0.55,-0.3375,-1
: Alexandra Australia is telling customers that fur production is ethical. We’re not buying it – are you? Take action now…,0.35,0.15000000000000002,1
": URGENT ACTION NEEDED!
 
Cashmere goats scream in agony as their hair is violently ripped off their bodies, mice and birds are lef…",0.55,-0.3375,-1
Urge These Fast-Food Chains to Up Their Vegan Game ,0.4,-0.4,-1
"Support those who want to Stop Animal Slaughter and provide healthy food that won’t cause cancer

",0.5,0.5,1
: PETA Games - Angry Video Game Nerd (AVGN) ,0.7,-0.45,-1
": The future is kinder. 
Join us:  ",0.125,0.0,0
: NSW Premier  says it’s “too early” for a royal commission into the handling of COVID-19 by governments in Australi…,0.3,0.1,1
:     Stay away from my milk ,0.0,0.0,0
": The future is kinder. 
Join us:  ",0.125,0.0,0
Alexandra Australia is telling customers that fur production is ethical. We’re not buying it – are you? Take action… ,0.6,0.2,1
 : 2f76fc0f-a605-468d-b283-b4261ef418a3,0.0,0.0,0
": The future is kinder. 
Join us:  ",0.125,0.0,0
Urge These Fast-Food Chains to Up Their Vegan Game ,0.4,-0.4,-1
"People Power!
And now we want Protected Wide Cycle Lanes infrastructure countrywide with ride-thru at McDonalds and… ",0.4,-0.1,-1
: Astonishing story by  reinventing credlin as a feminist warrior. Her role in the disgusting mysogyny…,1.0,-0.25,-1
": The future is kinder. 
Join us:  ",0.125,0.0,0
    As if  cares a flying f*ck about animals. They rather see animal… ,0.0,0.0,0
"_RL: I am currently Looking for a Team in Rocket League.
I found my interest in tournaments and Nitro League again and am exit…",0.4,0.0,0
auspol PETA:Good on U 4 finally quizzng a leadr[Gladys]-bt we truly need U 2 grill Morrisn-ask hm is Mathias a lam… ,1.0,0.0,0
: Are we  Way to Extinction? We’re at the premiere of the new film narrated by Academy Award winner Kate Winslet to find…,0.45454545454545453,0.13636363636363635,1
": The future is kinder. 
Join us:  ",0.125,0.0,0
Urge These Fast-Food Chains to Up Their Vegan Game ,0.4,-0.4,-1
":   I'm sure Rita Panahi, Peta Credlin and Miranda Devine would have room for one more in their ""w…",0.6944444444444444,0.5,1
": The future is kinder. 
Join us:  ",0.125,0.0,0
Steph Curry opens up with Adam Silver in an unexpected interview hosted by PETA.,1.0,0.1,1
" _ssb   Bruh I don't have a varied diet as it is, bit if chicken is all I g… ",0.95,-0.6,-1
": The future is kinder. 
Join us:  ",0.125,0.0,0
:    I'm gonna drink even more milk now,0.5,0.5,1
Alexandra Australia is telling customers that fur production is ethical. We’re not buying it – are you? Take action… ,0.6,0.2,1
"The future is kinder. 
Join us:  ",0.125,0.0,0
" Two little points, if I may. Ms Sales' middle name is ""Peta"" 🤭 A tweet I saw this arvo, suggested  M… ",0.25,-0.09375,-1
" Shameful! ,  need to draw global attention to stop this madness Now",0.0,0.0,0
Urge the Danish Military to Stop Killing Pigs in Trauma Training! ,0.1,-0.125,-1
: Alexandra Australia is telling customers that fur production is ethical. We’re not buying it – are you? Take action now: h…,0.35,0.15000000000000002,1
: We told you not to trust government-funded monkey labs. AHSDoubleFeature ,0.0,-0.05,-1
": URGENT ACTION NEEDED!
 
Cashmere goats scream in agony as their hair is violently ripped off their bodies, mice and birds are lef…",0.55,-0.3375,-1
": Autumn has landed &amp; so has burgundy. 🍁100% Organic Cotton, Vegan Friendly, Peta approved Unisex t-shirts. 🌱 ",0.5,0.375,1
: Premier  says she is “happy to be lectured by other state premiers” as New South Wales moves to open up after an e…,0.5823863636363636,0.2028409090909091,1
"_club: Pamela Anderson Donates $100,000 To Animal Rights Group PETA, And More Vegan Celebrity News ",0.5,0.5,1
 : ce11fca4-41a7-4817-af4d-13b387609dc5,0.0,0.0,0
Councils Go Vegan – in the UK and Worldwide  ,0.0,0.0,0
Alexandra Australia is telling customers that fur production is ethical. We’re not buying it – are you? Take action… ,0.6,0.2,1
Urge These Fast-Food Chains to Up Their Vegan Game ,0.4,-0.4,-1
": Starvation, disease, torture: this is the real American horror story ⬇️ ",0.0,0.0,0
" Will he be able to put such complete ban on killing of bakra on ED .

PETA 
Wake up",0.5083333333333333,0.19999999999999998,1
": URGENT ACTION NEEDED!
 
Cashmere goats scream in agony as their hair is violently ripped off their bodies, mice and birds are lef…",0.55,-0.3375,-1
: It’s probably out of frustration.  ,0.0,0.0,0
": It’s never too early to speak up for animals!

Join us and the baby by urging _USA to drop their Iditarod sponsorship…",0.3,0.125,1
": Reminder that when you eat meat, YOU ARE EATING BODY PARTS 🤮 ",0.0,0.0,0
": Our autumn workshops (improvers &amp; returners) still have a few places available!
Check them out here:
",0.25,0.15,1
"  This is awful - stop it,  - cruel and unnecessary.",0.9666666666666667,-0.7999999999999999,-1
": URGENT ACTION NEEDED!
 
Cashmere goats scream in agony as their hair is violently ripped off their bodies, mice and birds are lef…",0.55,-0.3375,-1
: France-based drugmaker Sanofi continues to use torturous near-drowning experiments that the pharmaceutical industry is larg…,0.0,0.0,0
just a leaf looking at the sky ,0.0,0.0,0
: Alexandra Australia is telling customers that fur production is ethical. We’re not buying it – are you? Take action now…,0.35,0.15000000000000002,1
Alexandra Australia is telling customers that fur production is ethical. We’re not buying it – are you? Take action… ,0.6,0.2,1
": URGENT ACTION NEEDED!
 
Cashmere goats scream in agony as their hair is violently ripped off their bodies, mice and birds are lef…",0.55,-0.3375,-1
The only thing keeping me from making my own animal/human hybrid are willing subjects. And possibly PETA.,0.9375,0.2125,1
France-based drugmaker Sanofi continues to use torturous near-drowning experiments that the pharmaceutical industry… ,0.0,0.0,0
  It’s called animal ‘slavery’.😢,0.0,0.0,0
NSW Premier  says it’s “too early” for a royal commission into the handling of COVID-19 by governments in A… ,0.3,0.1,1
: Please help stop the bloody whale slaughter on the Faroe Islands: ,0.9,-0.8,-1
": If YOU were an orca or dolphin, would you choose THIS or would you choose the ocean?
 
Exactly.
 
📹  ",0.25,0.25,1
NSW Premier Gladys Berejiklian says the federal government is “really keen” for the state to open international tra… ,0.2333333333333333,0.06666666666666667,1
: Premier  says she is “happy to be lectured by other state premiers” as New South Wales moves to open up after an e…,0.5823863636363636,0.2028409090909091,1
" Yes, folks! Tonight, it's Peta Credlin's turn to break out the Drug Dealer Defence! Add that to the ty… ",0.0,0.0,0
Alexandra Australia is telling customers that fur production is ethical. We’re not buying it – are you? Take action… ,0.6,0.2,1
Alexandra Australia is telling customers that fur production is ethical. We’re not buying it – are you? Take action… ,0.6,0.2,1
": PETA Save our skins.
",0.0,0.0,0
"Turkeys Kicked, Beaten, and Killed at ‘Humane’ Farms Investigates  via ",0.0,-0.2,-1
": URGENT ACTION NEEDED!
 
Cashmere goats scream in agony as their hair is violently ripped off their bodies, mice and birds are lef…",0.55,-0.3375,-1
 Oh no Peta I’m so so sorry 😢. That’s awful. I know you gave her a wonderful long happy life though… big hug from me. 💕,0.75,0.041666666666666664,1
: Alexandra Australia is telling customers that fur production is ethical. We’re not buying it – are you? Take action now: h…,0.35,0.15000000000000002,1
: Sky News host Peta Credlin says it is time to stop “obsessing about our emissions” given Australia has “reduced its emissi…,0.0,0.0,0
": URGENT ACTION NEEDED!
 
Cashmere goats scream in agony as their hair is violently ripped off their bodies, mice and birds are lef…",0.55,-0.3375,-1
_M  _OverHere _da_hero _ssbu   I knew i shouldnt of drank t… ,0.0,0.0,0
: Premier  says she is “happy to be lectured by other state premiers” as New South Wales moves to open up after an e…,0.5823863636363636,0.2028409090909091,1
Premier  says she is “happy to be lectured by other state premiers” as New South Wales moves to open up aft… ,0.5823863636363636,0.2028409090909091,1
Alexandra Australia is telling customers that fur production is ethical. We’re not buying it – are you? Take action… ,0.6,0.2,1
: Me and who,0.0,0.0,0
_OverHere _da_hero _ssbu   I mean if i was a rat id be offended too if i was co… ,0.6875,-0.3125,-1
": URGENT ACTION NEEDED!
 
Cashmere goats scream in agony as their hair is violently ripped off their bodies, mice and birds are lef…",0.55,-0.3375,-1
"3 million tons of pesticides are sprayed on our fields every year. This is killing our bees and biodiversity, but w… ",0.0,0.0,0
": My uncle works at Nintendo and sent me these pictures of the Smash Ultimate beta used to test new DLC characters 😮

The last Fig…",0.5070707070707071,0.04545454545454545,1
: this is like showing up to a peta protest wearing fur and eating a cheeseburger,0.0,0.0,0
Urge These Fast-Food Chains to Up Their Vegan Game ,0.4,-0.4,-1
Alexandra Australia is telling customers that fur production is ethical. We’re not buying it – are you? Take action… ,0.6,0.2,1
I have just learnt that self proclaimed animal rights activists company peta known for ending the lives of animals… ,0.0,0.0,0
Please help stop the bloody whale slaughter on the Faroe Islands: ,0.9,-0.8,-1
NOT A PETA YOUTUBE AD 😭,0.0,0.0,0
": THIS IS WHAT HAPPENS IN THE DAIRY INDUSTRY 💔 

Cow mothers have their babies stolen from them so humans can drink their milk. RET…",0.16666666666666666,-0.13333333333333333,-1
": 40 years ago, PETA made HISTORY at this hidden monkey laboratory by obtaining the first search and seizure warrant against a U.S.…",0.2222222222222222,0.011111111111111108,1
Alexandra Australia is telling customers that fur production is ethical. We’re not buying it – are you? Take action… ,0.6,0.2,1
Urge These Fast-Food Chains to Up Their Vegan Game ,0.4,-0.4,-1
: Alexandra Australia is telling customers that fur production is ethical. We’re not buying it – are you? Take action now: h…,0.35,0.15000000000000002,1
Urge These Fast-Food Chains to Up Their Vegan Game ,0.4,-0.4,-1
": 📝Today _EN will vote to ask the _Commission to phase out animal testing❌

💜We fully supp…",0.0,0.0,0
"  but too bad, humanity loves you",0.6666666666666666,-0.6999999999999998,-1
Alexandra Australia is telling customers that fur production is ethical. We’re not buying it – are you? Take action… ,0.6,0.2,1
  They’re jobless bro. They even attacked pokemon. Their existence is a joke.,0.0,0.0,0
": Hey,  - greyhounds are loving, sensitive individuals who do NOT want to race. 
Sign here to take action: ",0.65,0.26666666666666666,1
"Animals Suffering Continues on Santorini 

 via ",0.0,0.0,0
": PETA urges PM Modi to declare Gandhi Jayanti as ‘National Meat-Free Day’ 

Read:  ",0.0,0.0,0
I hope that you feel the same pain. You scream so painfully and loudly that maybe you understand your torture. ,0.6083333333333333,-0.19999999999999998,-1
: Astonishing story by  reinventing credlin as a feminist warrior. Her role in the disgusting mysogyny…,1.0,-0.25,-1
" Rats will be disposed of. Rats are pests. If you dont want that happening, you better build a facilities to c… ",0.5,0.5,1
"Where were you? 🤔 




_HQ


_Official ",0.0,0.0,0
": 40 years ago, PETA made HISTORY at this hidden monkey laboratory by obtaining the first search and seizure warrant against a U.S.…",0.2222222222222222,0.011111111111111108,1
_salmon85:    My 3 month year old daughter has a very important meeting at Great Ormond St…,0.65,0.47333333333333333,1
  Why do you even exist   ??,0.0,0.0,0
 Holy shit it would be amazing to see the nerd get censored by peta when talking about animal shit cuz it's not vegan lmao,0.875,0.2,1
" 
Thats what happened in Faroe islands for 1500 dolphins, what are you going to do? ",0.0,0.0,0
Urge These Fast-Food Chains to Up Their Vegan Game ,0.4,-0.4,-1
  For every stupid post I see I go hunting that weekend.  So I'll basically be hunting every weekend… ,1.0,-0.7999999999999999,-1
Peta be serving ,0.0,0.0,0
": 
Interviews with artists Peta Lloyd, Annie Rapstoff, Rhiannon Evans and Clare Carswell by art writ…",0.0,0.0,0
"📝Today _EN will vote to ask the _Commission to phase out animal testing❌

💜We fu… ",0.0,0.0,0
 Morning Peta 😀someone who’s a bit sick and doesn’t have children I should imagine 😡sending hugs to you and yours x🤗🇬🇧🦇☕️🐲🌼,0.8571428571428571,-0.7142857142857143,-1
 Nice block when you tell people to act like the omnivores they are. ,1.0,0.6,1
"  _CH   
Killing of 1500 Dolphins in the name of tradit… ",0.0,0.0,0
": URGENT ACTION NEEDED!
 
Cashmere goats scream in agony as their hair is violently ripped off their bodies, mice and birds are lef…",0.55,-0.3375,-1
Watching Peta Credlin interview Gladys. Not one hard tough question. Seems like Credlin has lost her main strength.… ,0.5694444444444444,-0.1712962962962963,-1
: Sky News host Peta Credlin says it is time to stop “obsessing about our emissions” given Australia has “reduced its emissi…,0.0,0.0,0
Too high to give a sh*t bout PETA,0.5399999999999999,0.16,1
Gladys Berejiklian tells Peta Credlin weddings and corporate events have different density caps because ‘people min… ,0.3,0.0,0
Sky News host Peta Credlin says it is time to stop “obsessing about our emissions” given Australia has “reduced its… ,0.0,0.0,0
GRAPHIC IMAGES! Whalers on the Faroe Islands kill 1428 dolphins in a sin...  via … ,0.4,0.0,0
New kink alert ,0.45454545454545453,0.13636363636363635,1
no way i miss the live becos i need to workout for my peta sfckmdod,0.5,0.13636363636363635,1
Alexandra Australia is telling customers that fur production is ethical. We’re not buying it – are you? Take action… ,0.6,0.2,1
Alexandra Australia is telling customers that fur production is ethical. We’re not buying it – are you? Take action… ,0.6,0.2,1
: Could you be wearing dog leather? InternationalDogDay ,0.0,0.0,0
"Speaking to  Peta Credlin, Gladys Berejiklain reaffirms inbound &amp; outbound travel freedoms are imminent… ",0.0,0.0,0
@_Pehicc: Alexandra Australia is telling customers that fur production is ethical. We’re not buying it – are you? Take action now: https…,0.35,0.15000000000000002,1
Alexandra Australia is telling customers that fur production is ethical. We’re not buying it – are you? Take action… ,0.6,0.2,1
  - Good idea. Let's do it for Bakri Eid also,0.6000000000000001,0.7,1
": If YOU were an orca or dolphin, would you choose THIS or would you choose the ocean?
 
Exactly.
 
📹  ",0.25,0.25,1
Urge These Fast-Food Chains to Up Their Vegan Game ,0.4,-0.4,-1
"Berejiklian with Peta Credlin on 80% rules: ""We’re working on 80% roadmap – in some parts of the world if there’s a… ",0.0,0.0,0
Why hasn't Val been awarded an AO - but we gave one to Peta Credlin? thedrum or has she?,0.0,0.0,0
" PETA should call for banning eggs,",0.0,0.0,0
: It’s probably out of frustration.  ,0.0,0.0,0
": URGENT ACTION NEEDED!
 
Cashmere goats scream in agony as their hair is violently ripped off their bodies, mice and birds are lef…",0.55,-0.3375,-1
: Alexandra Australia is telling customers that fur production is ethical. We’re not buying it – are you? Take action now…,0.35,0.15000000000000002,1
Request Activist Materials  via ,0.0,0.0,0
: Alexandra Australia is telling customers that fur production is ethical. We’re not buying it – are you? Take action now…,0.35,0.15000000000000002,1
: We will continue to be nuisance for beef mafia that does illegal slaughter. We don't need PETA for this.,0.5,-0.5,-1
: _UNIFICATION _official _HQ   Are you interested in stopping cruelty  or…,0.5,0.25,1
"They source their fur from China where the animals are skinned alive.

Alexandra Australia is telling customers tha… ",0.4,0.1,1
PETA are so weird   ,1.0,-0.5,-1
": So, the left are now the ‘unfun ones’ at a dinner party compared to the ‘larrikin right’. So, who would you like to sit next…",0.26785714285714285,0.14285714285714285,1
Australia is telling customers that fur production is ethical. We’re not buying it – are you? Take action now: ,0.35,0.15000000000000002,1
: We will continue to be nuisance for beef mafia that does illegal slaughter. We don't need PETA for this.,0.5,-0.5,-1
": URGENT ACTION NEEDED!
 
Cashmere goats scream in agony as their hair is violently ripped off their bodies, mice and birds are lef…",0.55,-0.3375,-1
":    If you guys just wanted furry porn, you could have asked me instead of trying to play this whole…",0.0,0.0,0
"LIVE TELECASTING /BROADCASTING OR VIDEOGRAPHY, AUDIOGRAPHY OF SOMEONE'S LIFE WITHOUT HIS/HER PERMISSION IS A CRIME… ",0.5,0.13636363636363635,1
Alexandra Australia is telling customers that fur production is ethical. We’re not buying it – are you? Take action… ,0.6,0.2,1
: this is like showing up to a peta protest wearing fur and eating a cheeseburger,0.0,0.0,0
"1,428 white-sided dolphins were slaughtered over the weekend as part of a four-century-old traditional drive of sea… ",0.75,0.0,0
: The only way this stops is when tourists stop being so lazy : Animal Suffering Continues on Santorini ,1.0,-0.125,-1
Urge These Fast-Food Chains to Up Their Vegan Game ,0.4,-0.4,-1
": URGENT ACTION NEEDED!
 
Cashmere goats scream in agony as their hair is violently ripped off their bodies, mice and birds are lef…",0.55,-0.3375,-1
"1 peta down, 9999999 to go",0.2888888888888889,-0.15555555555555559,-1
Urge These Fast-Food Chains to Up Their Vegan Game ,0.4,-0.4,-1
": As it's the end of the first week BackToSchool, take a moment to sign here to end lessons of cruelty where children as young a…",0.3666666666666667,0.175,1
"MIND YOU IM REALLY NOT A FAN OF EXERCISING PLS. IF IT ISNT FOR PETA, I'D RATHER LAZE AROUND. T___T",0.2,-0.1,-1
: Alexandra Australia is telling customers fur production is ethical. We’re not buying it – are you? Take action now: ,0.35,0.15000000000000002,1
"Hey .  Close uour shop here.   You are wanted in Farie Islands. 
 ",0.0,0.0,0
": She wore  to the MetGala, but on one condition—that the company go fur-free—and THEY DID!
 
Tonight …",0.0,0.0,0
:  Your rightwing nutter in his fortnightly cosy chats with rightwing lunatic Peta Credlin putting the boot into Krist…,0.0,0.0,0
": Why you should never watch live zoo cams  
ANIMAL CRUELTY
 
  …",0.5,0.13636363636363635,1
: “PETA Investigates How South African President  Secretly Profits From Trophy Hunting” Spread the word! Shame…,0.35,-0.25,-1
": Watch the beautiful and emotional trailer for Gunda 🖤

The upcoming documentary executive-produced by Joaquin Phoenix gives an i…",0.5499999999999999,0.2833333333333333,1
": She knows that clothes should never take an animal’s life and that’s why she makes such a difference.

Wishing  a…",0.5,0.0,0
: Alexandra Australia is telling customers that fur production is ethical. We’re not buying it – are you? Take action now: http…,0.35,0.15000000000000002,1
" okay lngg, busy den dami peta 🥲 enjoy the rest of the dayyy &lt;3",0.43333333333333335,0.3333333333333333,1
A former employee testified at her DTRC hearing that a trainer punished a horse by withholding food for four days.… ,0.0,0.0,0
": So, _Paris, DidYouKnow that crocodiles are protective, attentive parents and often amuse themselves by blowing bubbles?…",0.9,0.4,1
": Instead, choose a milk that's made for human consumption:  ",0.1,0.0,0
": As it's the end of the first week BackToSchool, take a moment to sign here to end lessons of cruelty where children as young a…",0.3666666666666667,0.175,1
Alexandra Australia is telling customers that fur production is ethical. We’re not buying it – are you? Take action… ,0.6,0.2,1
Alexandra Australia is telling customers that fur production is ethical. We’re not buying it – are you? Take action… ,0.6,0.2,1
: Choose vegan fish and seafood! It’s not only better for animals and the world’s oceans but also offer all the taste without any…,0.75,0.25,1
: I wonder if animal rights advocates will have more success in getting this situation some attention.   help this…,0.25,0.4,1
: They can make shoes out of pineapple leaves now. Are you still wearing the skin of a tortured animal?  h…,0.0,0.0,0
": Sharks have been widely misconstrued as dangerous predators... But, when you look at the numbers it’s obvious that horror movie…",0.6,-0.2333333333333333,-1
": Take it from someone who almost died of sepsis: 
Experiments on mice DO NOT help humans! 
WorldSepsisDay
",0.0,0.0,0
This Australian Designer STILL Sells Fur! Take Action Now!  ,0.05,0.0625,1
 Your rightwing nutter in his fortnightly cosy chats with rightwing lunatic Peta Credlin putting the boot into… ,0.0,0.0,0
": Here's the daily reminder you needed to eat beetroot, not bones. Want to know more?  ",0.25,0.25,1
": Testing on animals is bad science. 
Join us in paving the way for better, more efficient, animal-free medical future: ",0.3583333333333333,0.06000000000000003,1
: Is your breakfast destroying our planet? ,0.0,-0.2,-1
": Hey,  - greyhounds are loving, sensitive individuals who do NOT want to race. 
Sign here to take action: ",0.65,0.26666666666666666,1
  _christophi  _louise   … ,0.0,0.0,0
"In my colony, one dog is severely injured. Dog is weeping. Severe injuries in his neck and ears. Please do somethin… ",0.0,0.0,0
"Peta india the epitome of Hypocrisy!

 
_Tewari  ",0.0,0.0,0
Urge These Fast-Food Chains to Up Their Vegan Game ,0.4,-0.4,-1
   _marmo Monstrous. - How can one torture such sweet creatures for a start,0.575,0.175,1
"Here in Germany, we already had a similar case: 3/

 ",0.4,0.0,0
": Why you should never watch live zoo cams  
ANIMAL CRUELTY
 
  …",0.5,0.13636363636363635,1
"_UNIFICATION: The World’s Biggest barbaric Halal Food Festival Is Coming To London Stadium UK.

_official
_HQ 

…",0.0,0.0,0
NSW Premier Gladys Berejiklian on PETA CREDLIN tonight at 6pm Sky News Australia. I know Credlin is running a Prote… ,0.0,0.0,0
  Just look at the farce of Vic's lockdown last year. All the journos in cahoots refusing… ,0.2833333333333333,-0.2,-1
: Are we  Way to Extinction? We’re at the premiere of the new film narrated by Academy Award winner Kate Winslet to find…,0.45454545454545453,0.13636363636363635,1
": Reminder that when you eat meat, YOU ARE EATING BODY PARTS 🤮 ",0.0,0.0,0
: 😡🦃  sent me this leaked “sex tape” that the meat industry doesn't want us to see. Workers at “humane” farms that supp…,0.0,0.0,0
: Alexandra Australia is telling customers that fur production is ethical. We’re not buying it – are you? Take action now: http…,0.35,0.15000000000000002,1
": URGENT ACTION NEEDED!
 
Cashmere goats scream in agony as their hair is violently ripped off their bodies, mice and birds are lef…",0.55,-0.3375,-1
": Here is the drone video free fron any attachments from a group trying to raise money off of Kiska's dire situation. 
…",0.8,0.4,1
_mc: Alexandra Australia is telling customers that fur production is ethical. We’re not buying it – are you? Take action now: htt…,0.35,0.15000000000000002,1
"PETA - People for the Extreme Termination of Animals. peta 
What a joke of an organization masquerading as animal… ",1.0,-0.125,-1
I just made a donation to PETA to help put a stop to cruelty to animals - please join me.,0.0,0.0,0
: Alexandra Australia is telling customers that fur production is ethical. We’re not buying it – are you? Take action now: h…,0.35,0.15000000000000002,1
Alexandra Australia is telling customers that fur production is ethical. We’re not buying it – are you? Take action… ,0.6,0.2,1
: Alexandra Australia is telling customers that fur production is ethical. We’re not buying it – are you? Take action now…,0.35,0.15000000000000002,1
: PETA Games - Angry Video Game Nerd (AVGN) ,0.7,-0.45,-1
_du_Noir_: Alexandra Australia is telling customers that fur production is ethical. We’re not buying it – are you? Take action n…,0.35,0.15000000000000002,1
Alexandra Australia is telling customers fur production is ethical. We’re not buying it – are you? Take action now:… ,0.35,0.15000000000000002,1
"_p: I don’t know about y’all, but I don’t have any more passwords left in me.",0.25,0.25,1
 any comments on these fantastic results? ,0.9,0.4,1
": Abbott obviously deserves much scorn for his treatment of Gillard… but Julie Bishop, Peta Credlin, Bronwyn Bishop and M…",0.35,0.1,1
 : 87f5038b-f973-4b78-bc33-a12748365206,0.0,0.0,0
": If YOU were an orca or dolphin, would you choose THIS or would you choose the ocean?
 
Exactly.
 
📹  ",0.25,0.25,1
Urge These Fast-Food Chains to Up Their Vegan Game ,0.4,-0.4,-1
Alexandra Australia is telling customers that fur production is ethical. We’re not buying it – are you? Take action… ,0.6,0.2,1
: this is like showing up to a peta protest wearing fur and eating a cheeseburger,0.0,0.0,0
: PETA Games - Angry Video Game Nerd (AVGN) ,0.7,-0.45,-1
" If their experiments are all that relevant for people, how come they don't try them on people? Would make more sense, somehow",0.7,0.45,1
"  I knew PETA had a lot of stupid takes, but that they went THAT far ...

Never cros… ",1.0,-0.35,-1
: I liked this appeal tweet of PETA but PETA SM handler has hidden all the Eid related replies shows how biased their activism…,0.5111111111111111,0.14444444444444446,1
": URGENT ACTION NEEDED!
 
Cashmere goats scream in agony as their hair is violently ripped off their bodies, mice and birds are lef…",0.55,-0.3375,-1
": Carnasie Brooklyn - Side effect of blanket eviction moratorium.
It allows for animal abuse!


…",0.0,0.0,0
: PETA Games - Angry Video Game Nerd (AVGN) ,0.7,-0.45,-1
: this is like showing up to a peta protest wearing fur and eating a cheeseburger,0.0,0.0,0
: PETA Games - Angry Video Game Nerd (AVGN) ,0.7,-0.45,-1
 PETA should first declare it's Revenue Sources and the actual number of rescued animals that it kills… ,0.21666666666666667,0.125,1
Urge These Fast-Food Chains to Up Their Vegan Game ,0.4,-0.4,-1
Alexandra Australia is telling customers that fur production is ethical. We’re not buying it – are you? Take action… ,0.6,0.2,1
  What about Faroe  Island  Dolphin genocide,0.0,0.0,0
": URGENT ACTION NEEDED!
 
Cashmere goats scream in agony as their hair is violently ripped off their bodies, mice and birds are lef…",0.55,-0.3375,-1
": So now we know. See you in court, . ",0.0,0.0,0
: Alexandra Australia is telling customers that fur production is ethical. We’re not buying it – are you? Take action now…,0.35,0.15000000000000002,1
: We will continue to be nuisance for beef mafia that does illegal slaughter. We don't need PETA for this.,0.5,-0.5,-1
:   Look at this healthy meal!! ,0.5,0.78125,1
:          _…,0.0,0.0,0
Alexandra Australia is telling customers that fur production is ethical. We’re not buying it – are you? Take action… ,0.6,0.2,1
Please help  FreeMali the elephant from a lonely life at the Manila Zoo: ,0.7,-0.09999999999999998,-1
"Take action to help release lonely, abused orca Morgan ",0.39999999999999997,1.3877787807814457e-17,1
Help Snakes Trapped in Cramped Tanks: Urge Defra to Amend Minimum Cage Size Regulations ,0.0,-0.2,-1
Live reptiles are being sawed open on farms that supplies Hermès. Please take action: ,0.3666666666666667,0.07878787878787878,1
Help retire lonely captive orca Lolita and others like her to a seaside sanctuary:  ,0.6499999999999999,0.05000000000000002,1
Urge these companies to stop selling badger-hair brushes ,0.0,0.0,0
_du_Noir_: Alexandra Australia is telling customers that fur production is ethical. We’re not buying it – are you? Take action n…,0.35,0.15000000000000002,1
Alexandra Australia is telling customers that fur production is ethical. We’re not buying it – are you? Take action… ,0.6,0.2,1
": “Today I don’t feel like doing anything” 
 
 
 
peacefulljammuandkasmir ",0.0,0.0,0
Alexandra Australia is telling customers that fur production is ethical. We’re not buying it – are you? Take action… ,0.6,0.2,1
": If YOU were an orca or dolphin, would you choose THIS or would you choose the ocean?
 
Exactly.
 
📹  ",0.25,0.25,1
" It appears by this data that 0.23% of the people tested for symptoms, had covid",0.0,0.0,0
context she accidentally said that our mini peta is due tomorrow instead of on friday and i almost cried,0.375,-0.125,-1
: Alexandra Australia is telling customers that fur production is ethical. We’re not buying it – are you? Take action now…,0.35,0.15000000000000002,1
" But honestly, what do people think they eat? Dead bodies of sentient beings who wanted to live",0.6,0.1787878787878788,1
